assessment_id,id_no,sci_name,presence,origin,seasonal,compiler,year,citation,legend,subspecies,subpop,dist_comm,island,tax_comm,source,basisofrec,event_year,longitude,latitude
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-87.5315,13.231
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-85.2,10.11
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-84.988333,9.991667
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-84.986667,9.99
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-84.838889,9.9875
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-82.4425,8.311389
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-79.588333,8.8675
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-77.177222,3.836944
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-77.176667,3.813333
723579,155051,Microgobius tabogensis,1,1,1,IUCN Freshwater Biodiversity Unit,2018,"Global Biodiversity Information Facility, Topis Contreras-MacBeath",Extant (resident), , , , , , , ,,-77.176389,3.814167
723760,155080,Hyporhamphus roberti,3,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Possibly Extant (resident), , , , , ,http://data.gbif.org/occurrences/189001191, ,,-52.1333,4.91667
723760,155080,Hyporhamphus roberti,3,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Possibly Extant (resident), , , , , ,http://data.gbif.org/occurrences/189001212, ,,-76.825,8.28333
723760,155080,Hyporhamphus roberti,3,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Possibly Extant (resident), , , , , ,http://data.gbif.org/occurrences/197806707, ,,-52.133335,4.9166665
723760,155080,Hyporhamphus roberti,3,1,1,T. Contreras McBeath,2018,IUCN Freshwater Biodiversity Unit,Possibly Extant (resident), , , , , ,http://data.gbif.org/occurrences/197806715, ,,-52.133335,4.9166665
