country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety,marine_species
United States,Los Angeles,5.0,5.0,125.0,4083,0.8,34.0,1.0,0.6,1.0,19,0.84,1.0,0.74,1.0,0.8,0.6,14
United States,Newark,7.25,7.25,400.0,4072,0.8,34.0,0.6,0.6,0.8,9,0.82,0.8,0.74,0.8,0.8,0.75,14
United States,Newark,7.25,7.25,400.0,4072,0.8,34.0,0.6,0.6,0.8,9,0.82,0.8,0.74,0.8,0.8,0.75,14
United States,Newark,7.25,7.25,400.0,4072,0.8,34.0,0.6,0.6,0.8,9,0.82,0.8,0.74,0.8,0.8,0.75,14
United States,Newark,7.25,7.25,400.0,4072,0.8,34.0,0.6,0.6,0.8,9,0.82,0.8,0.74,0.8,0.8,0.75,14
United States,Newark,7.25,7.25,400.0,4072,0.8,34.0,0.6,0.6,0.8,9,0.82,0.8,0.74,0.8,0.8,0.75,14
United States,Leeds,4.37,4.37,187.13,3012,0.8,32.4,0.6,0.6,1.0,0,0.83,0.8,0.74,0.4,1.0,0.8,14
United States,Chattanooga,5.0,5.0,325.0,3168,0.8,34.0,1.0,0.6,1.0,85,0.82,0.6,0.74,0.4,0.8,0.8,14
United States,Melbourne,5.66,5.66,415.06,2934,1.0,22.5,0.2,0.8,0.8,6,0.8,0.8,0.74,0.6,0.8,0.82,14
United States,La Plata,3.27,3.27,15.38,2290,0.6,48.4,0.2,0.6,1.0,5,0.74,1.0,0.73,0.4,0.8,0.4,14
United States,Amsterdam,5.38,5.38,258.08,3314,0.8,28.2,0.8,1.0,0.98,10,0.8,1.0,0.73,0.8,0.8,0.8,14
United States,Jacksonville,4.0,4.0,150.0,2586,1.0,34.0,1.0,0.6,0.8,20,0.83,0.6,0.73,0.4,0.8,0.6,14
United States,Jacksonville,4.0,4.0,150.0,2586,1.0,34.0,1.0,0.6,0.8,20,0.83,0.6,0.73,0.4,0.8,0.6,14
United States,Jacksonville,4.0,4.0,150.0,2586,1.0,34.0,1.0,0.6,0.8,20,0.83,0.6,0.73,0.4,0.8,0.6,14
United States,Jacksonville,4.0,4.0,150.0,2586,1.0,34.0,1.0,0.6,0.8,20,0.83,0.6,0.73,0.4,0.8,0.6,14
United States,Jacksonville,4.0,4.0,150.0,2586,1.0,34.0,1.0,0.6,0.8,20,0.83,0.6,0.73,0.4,0.8,0.6,14
United States,Jacksonville,4.0,4.0,150.0,2586,1.0,34.0,1.0,0.6,0.8,20,0.83,0.6,0.73,0.4,0.8,0.6,14
United States,Fargo,5.0,5.0,350.0,2959,0.8,34.0,0.6,0.6,1.0,61,0.81,0.6,0.73,0.4,0.8,0.8,14
United States,Fresno,4.5,4.5,39.0,2421,1.0,34.0,1.0,0.6,1.0,35,0.84,1.0,0.73,0.4,0.8,0.8,14
United States,Fresno,4.5,4.5,39.0,2421,1.0,34.0,1.0,0.6,1.0,35,0.84,1.0,0.73,0.4,0.8,0.8,14
United States,Bloomington,5.0,5.0,215.0,3386,0.8,34.0,0.4,0.6,0.8,28,0.81,0.6,0.73,0.4,0.8,0.8,14
United States,Bloomington,5.0,5.0,215.0,3386,0.8,34.0,0.4,0.6,0.8,28,0.81,0.6,0.73,0.4,0.8,0.8,14
United States,Bloomington,5.0,5.0,215.0,3386,0.8,34.0,0.4,0.6,0.8,28,0.81,0.6,0.73,0.4,0.8,0.8,14
United States,Bloomington,5.0,5.0,215.0,3386,0.8,34.0,0.4,0.6,0.8,28,0.81,0.6,0.73,0.4,0.8,0.8,14
United States,Baltimore,7.5,7.5,295.0,3943,0.6,34.0,0.8,0.6,0.6,17,0.75,0.6,0.73,0.8,0.4,0.4,14
United States,Wichita,4.0,4.0,401.38,2593,0.6,34.0,0.8,0.6,0.6,26,0.81,0.6,0.73,0.6,0.6,0.8,14
United States,Cleveland,5.0,5.0,100.0,3316,0.6,34.0,0.0,0.6,0.6,30,0.79,0.8,0.73,0.4,0.8,0.6,14
United States,Cleveland,5.0,5.0,100.0,3316,0.6,34.0,0.0,0.6,0.6,30,0.79,0.8,0.73,0.4,0.8,0.6,14
United States,Cleveland,5.0,5.0,100.0,3316,0.6,34.0,0.0,0.6,0.6,30,0.79,0.8,0.73,0.4,0.8,0.6,14
United States,San Juan,6.0,6.0,250.0,2618,0.6,34.0,0.6,0.6,1.0,16,0.78,1.0,0.73,0.4,0.8,0.8,14
United States,Key West,4.0,4.0,486.78,4499,0.8,34.0,0.8,0.6,0.8,27,0.87,1.0,0.72,0.8,0.6,0.8,14
United States,Rome,8.06,8.06,645.2,3972,0.6,43.1,0.2,0.6,0.8,10,0.76,0.6,0.72,0.8,0.4,0.6,14
United States,Rome,8.06,8.06,645.2,3972,0.6,43.1,0.2,0.6,0.8,10,0.76,0.6,0.72,0.8,0.4,0.6,14
United States,Beacon,5.0,5.0,200.0,3191,0.8,34.0,0.6,0.6,0.8,52,0.8,0.4,0.72,0.4,0.8,0.8,14
United States,Ann Arbor,5.0,5.0,450.0,3498,1.0,34.0,0.8,0.6,0.8,29,0.81,0.6,0.72,0.4,0.8,0.8,14
United States,Princeton,4.0,4.0,457.5,3674,0.6,34.0,0.8,0.6,0.8,41,0.8,0.8,0.72,1.0,0.6,0.8,14
United States,Princeton,4.0,4.0,457.5,3674,0.6,34.0,0.8,0.6,0.8,41,0.8,0.8,0.72,1.0,0.6,0.8,14
United States,Princeton,4.0,4.0,457.5,3674,0.6,34.0,0.8,0.6,0.8,41,0.8,0.8,0.72,1.0,0.6,0.8,14
United States,West Palm Beach,6.0,6.0,299.0,3300,0.8,34.0,0.8,0.6,1.0,5,0.81,1.0,0.72,0.4,0.8,0.6,14
United States,Geneva,10.03,10.03,816.49,5381,0.8,21.8,0.6,0.8,1.0,25,0.87,0.6,0.71,0.8,0.6,1.0,14
United States,Geneva,10.03,10.03,816.49,5381,0.8,21.8,0.6,0.8,1.0,25,0.87,0.6,0.71,0.8,0.6,1.0,14
United States,Leicester,4.37,4.37,37.43,2635,0.8,32.4,0.6,0.6,1.0,0,0.79,0.8,0.71,0.4,1.0,0.8,14
United States,Indianapolis,5.0,5.0,200.0,3188,0.8,34.0,0.6,0.6,0.8,22,0.78,0.4,0.71,0.4,0.8,0.6,14
United States,Scottsdale,5.0,5.0,524.6,3545,0.6,34.0,0.8,0.6,0.6,33,0.81,0.8,0.71,0.6,0.6,0.8,14
United States,Tulsa,4.9,4.9,590.48,3312,0.8,34.0,0.6,0.6,0.6,20,0.82,0.6,0.71,0.4,0.6,0.8,14
United States,San Francisco,5.0,5.0,570.0,4879,0.8,34.0,1.0,0.6,1.0,9,0.83,1.0,0.71,0.8,0.8,0.62,14
United States,Dunedin,5.33,5.33,433.41,2751,1.0,21.3,0.8,0.8,0.8,22,0.83,0.8,0.71,0.4,1.0,1.0,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Washington,7.5,7.5,400.0,4317,1.0,34.0,1.0,0.6,0.8,32,0.79,1.0,0.71,0.8,0.8,0.4,14
United States,Oxford,4.37,4.37,280.69,3686,1.0,32.4,1.0,0.6,1.0,0,0.82,0.8,0.71,0.4,1.0,0.6,14
United States,Oxford,4.37,4.37,280.69,3686,1.0,32.4,1.0,0.6,1.0,0,0.82,0.8,0.71,0.4,1.0,0.6,14
United States,Oxford,4.37,4.37,280.69,3686,1.0,32.4,1.0,0.6,1.0,0,0.82,0.8,0.71,0.4,1.0,0.6,14
United States,Oxford,4.37,4.37,280.69,3686,1.0,32.4,1.0,0.6,1.0,0,0.82,0.8,0.71,0.4,1.0,0.6,14
United States,Oxford,4.37,4.37,280.69,3686,1.0,32.4,1.0,0.6,1.0,0,0.82,0.8,0.71,0.4,1.0,0.6,14
United States,Oxford,4.37,4.37,280.69,3686,1.0,32.4,1.0,0.6,1.0,0,0.82,0.8,0.71,0.4,1.0,0.6,14
United States,Kingston,2.32,2.32,188.61,1325,0.6,65.0,0.6,0.8,0.6,9,0.67,1.0,0.71,0.6,0.0,0.4,14
United States,Kingston,2.32,2.32,188.61,1325,0.6,65.0,0.6,0.8,0.6,9,0.67,1.0,0.71,0.6,0.0,0.4,14
United States,Kingston,2.32,2.32,188.61,1325,0.6,65.0,0.6,0.8,0.6,9,0.67,1.0,0.71,0.6,0.0,0.4,14
United States,Chatham,1.85,1.85,221.57,2198,1.0,23.8,0.6,0.8,0.8,0,0.78,0.4,0.71,0.4,1.0,1.0,14
United States,Chatham,1.85,1.85,221.57,2198,1.0,23.8,0.6,0.8,0.8,0,0.78,0.4,0.71,0.4,1.0,1.0,14
United States,Hilo,7.0,7.0,200.0,3634,1.0,34.0,0.6,0.6,1.0,6,0.83,0.6,0.71,0.8,0.8,1.0,14
United States,Boston,5.0,5.0,299.0,4562,0.6,34.0,0.8,0.6,0.6,20,0.8,0.6,0.71,0.8,0.8,0.8,14
United States,Norwich,4.37,4.37,124.75,3178,0.8,32.4,0.6,0.6,0.8,0,0.79,0.8,0.7,0.4,1.0,0.8,14
United States,Huntsville,6.0,6.0,249.0,3152,1.0,34.0,0.8,0.6,0.6,46,0.81,0.6,0.7,0.4,0.8,0.8,14
United States,Huntsville,6.0,6.0,249.0,3152,1.0,34.0,0.8,0.6,0.6,46,0.81,0.6,0.7,0.4,0.8,0.8,14
United States,Vancouver,3.69,3.69,350.82,3522,1.0,23.8,1.0,0.8,0.62,0,0.77,0.58,0.7,0.8,1.0,0.8,14
United States,Stamford,7.5,7.5,250.0,3966,1.0,34.0,1.0,0.6,0.8,16,0.79,0.4,0.7,0.4,0.8,0.0,14
United States,Naples,8.06,8.06,655.95,3819,0.6,43.1,0.4,0.6,0.8,22,0.75,0.4,0.69,0.4,0.4,0.6,14
United States,Dayton,6.5,6.5,150.0,3056,1.0,34.0,1.0,0.6,0.8,13,0.81,0.6,0.69,0.4,0.8,0.8,14
United States,Dayton,6.5,6.5,150.0,3056,1.0,34.0,1.0,0.6,0.8,13,0.81,0.6,0.69,0.4,0.8,0.8,14
United States,Dayton,6.5,6.5,150.0,3056,1.0,34.0,1.0,0.6,0.8,13,0.81,0.6,0.69,0.4,0.8,0.8,14
United States,Venice,8.06,8.06,1451.69,5336,1.0,43.1,0.8,0.6,1.0,14,0.81,0.8,0.69,0.4,0.4,0.8,14
United States,Hartford,7.5,7.5,200.0,3750,1.0,34.0,1.0,0.6,0.8,16,0.78,0.4,0.69,0.4,0.8,0.6,14
United States,Hartford,7.5,7.5,200.0,3750,1.0,34.0,1.0,0.6,0.8,16,0.78,0.4,0.69,0.4,0.8,0.6,14
United States,Hartford,7.5,7.5,200.0,3750,1.0,34.0,1.0,0.6,0.8,16,0.78,0.4,0.69,0.4,0.8,0.6,14
United States,Syracuse,3.0,3.0,433.0,3537,0.8,34.0,0.8,0.6,0.6,54,0.8,0.8,0.69,0.4,0.6,0.8,14
United States,Syracuse,3.0,3.0,433.0,3537,0.8,34.0,0.8,0.6,0.6,54,0.8,0.8,0.69,0.4,0.6,0.8,14
United States,Southampton,4.37,4.37,342.44,3539,0.8,32.4,0.6,0.6,0.8,0,0.81,1.0,0.68,0.6,1.0,0.8,14
United States,Southampton,4.37,4.37,342.44,3539,0.8,32.4,0.6,0.6,0.8,0,0.81,1.0,0.68,0.6,1.0,0.8,14
United States,Bogota,1.6,1.6,152.05,1283,0.2,80.2,0.6,0.2,1.0,0,0.6,1.0,0.68,0.8,0.4,0.27,14
United States,Verona,6.45,6.45,160.22,3035,0.0,43.1,0.8,0.6,0.8,13,0.72,0.4,0.68,0.4,0.4,0.8,14
United States,Verona,6.45,6.45,160.22,3035,0.0,43.1,0.8,0.6,0.8,13,0.72,0.4,0.68,0.4,0.4,0.8,14
United States,Monterey,5.0,5.0,494.0,4340,0.6,34.0,0.8,0.6,0.6,44,0.79,0.6,0.67,0.4,0.6,0.8,14
United States,Bedford,4.0,4.0,467.0,3695,0.6,34.0,0.8,0.6,0.6,20,0.78,0.6,0.67,0.4,0.6,0.8,14
United States,Bedford,4.0,4.0,467.0,3695,0.6,34.0,0.8,0.6,0.6,20,0.78,0.6,0.67,0.4,0.6,0.8,14
United States,Bedford,4.0,4.0,467.0,3695,0.6,34.0,0.8,0.6,0.6,20,0.78,0.6,0.67,0.4,0.6,0.8,14
United States,Bedford,4.0,4.0,467.0,3695,0.6,34.0,0.8,0.6,0.6,20,0.78,0.6,0.67,0.4,0.6,0.8,14
United States,Bedford,4.0,4.0,467.0,3695,0.6,34.0,0.8,0.6,0.6,20,0.78,0.6,0.67,0.4,0.6,0.8,14
United States,Bedford,4.0,4.0,467.0,3695,0.6,34.0,0.8,0.6,0.6,20,0.78,0.6,0.67,0.4,0.6,0.8,14
United States,Ithaca,3.0,3.0,433.0,4127,0.6,34.0,0.8,0.6,0.6,23,0.79,0.6,0.67,0.4,0.6,0.8,14
United States,Santa Monica,5.0,5.0,299.0,5396,0.8,34.0,0.4,0.6,0.8,31,0.8,1.0,0.67,0.8,0.8,0.8,14
United States,Aberdeen,4.37,4.37,343.07,3159,1.0,32.4,0.6,0.6,0.8,0,0.79,0.6,0.66,0.4,1.0,0.8,14
United States,Aberdeen,4.37,4.37,343.07,3159,1.0,32.4,0.6,0.6,0.8,0,0.79,0.6,0.66,0.4,1.0,0.8,14
United States,Aberdeen,4.37,4.37,343.07,3159,1.0,32.4,0.6,0.6,0.8,0,0.79,0.6,0.66,0.4,1.0,0.8,14
United States,Aberdeen,4.37,4.37,343.07,3159,1.0,32.4,0.6,0.6,0.8,0,0.79,0.6,0.66,0.4,1.0,0.8,14
United States,Northampton,4.37,4.37,342.44,3130,1.0,32.4,0.6,0.6,0.8,0,0.78,1.0,0.66,0.8,1.0,0.6,14
United States,Northampton,4.37,4.37,342.44,3130,1.0,32.4,0.6,0.6,0.8,0,0.78,1.0,0.66,0.8,1.0,0.6,14
United States,Northampton,4.37,4.37,342.44,3130,1.0,32.4,0.6,0.6,0.8,0,0.78,1.0,0.66,0.8,1.0,0.6,14
United States,Reading,4.37,4.37,124.75,3212,0.6,32.4,0.6,0.6,0.6,0,0.76,0.8,0.66,0.4,1.0,0.6,14
United States,Reading,4.37,4.37,124.75,3212,0.6,32.4,0.6,0.6,0.6,0,0.76,0.8,0.66,0.4,1.0,0.6,14
United States,Reading,4.37,4.37,124.75,3212,0.6,32.4,0.6,0.6,0.6,0,0.76,0.8,0.66,0.4,1.0,0.6,14
United States,Coventry,4.37,4.37,342.44,3082,1.0,32.4,0.6,0.6,0.6,0,0.78,0.6,0.66,0.6,1.0,1.0,14
United States,Coventry,4.37,4.37,342.44,3082,1.0,32.4,0.6,0.6,0.6,0,0.78,0.6,0.66,0.6,1.0,1.0,14
United States,Anchorage,6.0,6.0,325.0,3760,1.0,34.0,0.8,0.6,0.8,36,0.8,0.6,0.66,0.4,0.8,0.8,14
United States,Santa Barbara,6.0,6.0,529.0,5230,0.6,34.0,0.8,0.6,0.6,16,0.8,0.8,0.66,0.4,0.6,0.6,14
United States,Cheltenham,4.74,4.74,420.41,3379,0.6,32.4,0.8,0.6,0.6,0,0.77,0.6,0.66,0.4,0.6,0.8,14
United States,Salem,3.5,3.5,457.5,4102,0.2,34.0,0.8,0.6,0.6,47,0.76,0.6,0.66,0.6,0.6,0.6,14
United States,Salem,3.5,3.5,457.5,4102,0.2,34.0,0.8,0.6,0.6,47,0.76,0.6,0.66,0.6,0.6,0.6,14
United States,Salem,3.5,3.5,457.5,4102,0.2,34.0,0.8,0.6,0.6,47,0.76,0.6,0.66,0.6,0.6,0.6,14
United States,Salem,3.5,3.5,457.5,4102,0.2,34.0,0.8,0.6,0.6,47,0.76,0.6,0.66,0.6,0.6,0.6,14
United States,Salem,3.5,3.5,457.5,4102,0.2,34.0,0.8,0.6,0.6,47,0.76,0.6,0.66,0.6,0.6,0.6,14
United States,Salem,3.5,3.5,457.5,4102,0.2,34.0,0.8,0.6,0.6,47,0.76,0.6,0.66,0.6,0.6,0.6,14
United States,Portsmouth,4.63,4.63,410.93,3371,0.8,32.4,0.6,0.6,0.8,10,0.78,0.6,0.65,0.6,0.6,1.0,14
United States,Portsmouth,4.63,4.63,410.93,3371,0.8,32.4,0.6,0.6,0.8,10,0.78,0.6,0.65,0.6,0.6,1.0,14
United States,Portsmouth,4.63,4.63,410.93,3371,0.8,32.4,0.6,0.6,0.8,10,0.78,0.6,0.65,0.6,0.6,1.0,14
United States,Portsmouth,4.63,4.63,410.93,3371,0.8,32.4,0.6,0.6,0.8,10,0.78,0.6,0.65,0.6,0.6,1.0,14
United States,Detroit,5.0,5.0,30.0,2576,0.8,34.0,0.6,0.6,0.8,19,0.63,0.6,0.63,0.8,0.8,0.2,14
United States,York,4.24,4.24,389.63,4611,0.6,32.4,0.8,0.6,0.6,0,0.77,0.6,0.63,0.6,0.6,0.8,14
United States,York,4.24,4.24,389.63,4611,0.6,32.4,0.8,0.6,0.6,0,0.77,0.6,0.63,0.6,0.6,0.8,14
United States,Charleston,4.0,4.0,275.0,3182,0.82,34.0,1.0,0.6,0.82,4,0.78,0.42,0.63,0.8,0.8,0.62,14
United States,Charleston,4.0,4.0,275.0,3182,0.82,34.0,1.0,0.6,0.82,4,0.78,0.42,0.63,0.8,0.8,0.62,14
United States,Charleston,4.0,4.0,275.0,3182,0.82,34.0,1.0,0.6,0.82,4,0.78,0.42,0.63,0.8,0.8,0.62,14
United States,Hamilton,10.0,10.0,813.74,6345,0.6,75.39999999999999,0.6,0.7539999999999999,0.8,6,0.77,0.8,0.57,0.4,0.8,0.8,14
United States,Hamilton,10.0,10.0,813.74,6345,0.6,75.39999999999999,0.6,0.7539999999999999,0.8,6,0.77,0.8,0.57,0.4,0.8,0.8,14
United States,Hamilton,10.0,10.0,813.74,6345,0.6,75.39999999999999,0.6,0.7539999999999999,0.8,6,0.77,0.8,0.57,0.4,0.8,0.8,14
United States,Hamilton,10.0,10.0,813.74,6345,0.6,75.39999999999999,0.6,0.7539999999999999,0.8,6,0.77,0.8,0.57,0.4,0.8,0.8,14
United States,Santa Cruz,1.44,1.44,117.41,1778,0.4,78.5,0.2,0.4,1.0,3,0.71,1.0,0.56,0.4,0.8,0.6,14
United States,Lima,1.46,1.46,145.94,2231,0.4,72.0,0.4,0.6,0.8,3,0.63,0.6,0.55,0.8,0.6,0.6,14
United States,Cairo,0.96,0.96,54.6,1352,0.2,90.2,0.4,0.2,0.8,3,0.48,0.6,0.53,0.8,0.6,0.6,14
United States,Chicago,6.0,6.0,250.0,4056,0.8,34.0,0.6,0.6,0.6,24,0.57,0.6,0.53,0.8,0.8,0.2,14
United States,Alexandria,0.96,0.96,32.12,2188,0.58,90.2,0.4,0.2,0.4,0,0.44,0.4,0.43,0.4,0.6,0.4,14
United States,Alexandria,0.96,0.96,32.12,2188,0.58,90.2,0.4,0.2,0.4,0,0.44,0.4,0.43,0.4,0.6,0.4,14
United States,Alexandria,0.96,0.96,32.12,2188,0.58,90.2,0.4,0.2,0.4,0,0.44,0.4,0.43,0.4,0.6,0.4,14
United States,Alexandria,0.96,0.96,32.12,2188,0.58,90.2,0.4,0.2,0.4,0,0.44,0.4,0.43,0.4,0.6,0.4,14
United States,Freetown,2.04,2.04,288.58,2833,0.2,91.0,0.2,0.6,0.4,0,0.22,0.2,0.23,0.4,0.4,0.2,14
United States,Damascus,2.65,2.65,215.73,1162,0.2,110.8,0.2,0.2,0.2,2,0.01,0.2,0.19,0.4,0.0,0.2,14
United States,Damascus,2.65,2.65,215.73,1162,0.2,110.8,0.2,0.2,0.2,2,0.01,0.2,0.19,0.4,0.0,0.2,14
Colombia,Madrid,5.38,5.38,161.3,2554,0.8,39.8,0.6,0.8,0.8,18,0.88,0.8,0.9,1.0,0.6,0.8,7
Colombia,San Diego,5.0,5.0,490.0,3427,0.8,34.0,1.0,0.6,1.0,55,0.92,1.0,0.89,1.0,0.8,0.6,7
Colombia,Buenos Aires,2.69,2.69,153.85,2393,0.6,48.4,0.62,0.6,0.82,6,0.81,1.0,0.84,1.0,0.78,0.6,7
Colombia,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,7
Colombia,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,7
Colombia,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8,7
Colombia,La Plata,3.27,3.27,15.38,2290,0.6,48.4,0.2,0.6,1.0,5,0.74,1.0,0.73,0.4,0.8,0.4,7
Colombia,Fresno,4.5,4.5,39.0,2421,1.0,34.0,1.0,0.6,1.0,35,0.84,1.0,0.73,0.4,0.8,0.8,7
Colombia,Monterrey,1.81,1.81,116.08,2041,0.6,70.4,0.4,0.2,1.0,11,0.72,0.6,0.73,0.6,0.0,0.6,7
Colombia,Santo Domingo,3.78,3.78,95.57,1763,0.6,70.8,0.4,0.6,0.8,7,0.69,1.0,0.71,0.4,0.8,0.4,7
Colombia,Pamplona,2.15,2.15,198.94,2426,0.6,39.8,0.6,0.8,0.6,19,0.78,0.6,0.7,0.4,0.6,0.8,7
Colombia,Granada,5.38,5.38,322.6,2514,0.8,39.8,0.2,0.8,0.6,6,0.74,1.0,0.69,0.4,0.4,0.6,7
Colombia,Granada,5.38,5.38,322.6,2514,0.8,39.8,0.2,0.8,0.6,6,0.74,1.0,0.69,0.4,0.4,0.6,7
Colombia,Palermo,3.23,3.23,170.55,2492,0.6,43.1,0.6,0.6,0.6,14,0.74,0.6,0.68,0.4,0.6,0.8,7
Colombia,Cartagena,1.6,1.6,320.1,1957,0.4,80.2,0.6,0.2,1.0,5,0.63,0.8,0.66,0.4,0.4,0.8,7
Colombia,Barranquilla,1.46,1.46,111.68,1246,0.6,80.2,0.0,0.2,0.6,5,0.61,0.8,0.65,0.4,0.6,0.6,7
Colombia,Medellín,1.6,1.6,128.04,1308,0.2,80.2,0.4,0.2,0.64,7,0.53,0.8,0.64,0.8,0.4,0.4,7
Colombia,Bucaramanga,1.67,1.67,111.68,887,0.6,80.2,0.0,0.2,0.6,3,0.59,0.8,0.52,0.4,0.6,0.6,7
Colombia,Santa Marta,1.28,1.28,156.21,1658,0.4,80.2,0.6,0.2,0.6,3,0.55,0.4,0.48,0.4,0.4,0.51,7
Colombia,Pasto,0.72,0.72,117.16,830,0.6,80.2,0.4,0.2,0.6,3,0.51,0.6,0.47,0.4,0.4,0.4,7
Colombia,San Pedro,1.99,1.99,162.41,4228,0.6,66.0,0.4,0.6,0.8,3,0.68,1.0,0.47,0.8,0.0,0.6,7
Colombia,San Pedro,1.99,1.99,162.41,4228,0.6,66.0,0.4,0.6,0.8,3,0.68,1.0,0.47,0.8,0.0,0.6,7
Colombia,Cali,1.6,1.6,32.01,1099,0.4,80.2,0.6,0.2,1.0,4,0.36,1.0,0.16,0.4,0.4,0.2,7
Philippines,Madrid,5.38,5.38,161.3,2554,0.8,39.8,0.6,0.8,0.8,18,0.88,0.8,0.9,1.0,0.6,0.8,11
Philippines,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,11
Philippines,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,11
Philippines,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,11
Philippines,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,11
Philippines,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,11
Philippines,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8,11
Philippines,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8,11
Philippines,Valencia,4.3,4.3,215.07,2287,1.0,39.8,0.8,0.8,0.8,8,0.85,0.62,0.81,0.8,0.4,0.8,11
Philippines,Barcelona,5.38,5.38,215.07,3206,0.62,39.8,0.6,0.8,0.62,28,0.82,1.0,0.79,1.0,0.87,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,San Jose,5.0,5.0,250.0,3312,1.0,34.0,0.8,0.6,1.0,12,0.85,0.6,0.79,0.8,0.8,0.8,11
Philippines,Victoria,4.06,4.06,240.03,3061,1.0,23.8,1.0,0.8,1.0,0,0.83,0.6,0.76,0.8,1.0,1.0,11
Philippines,Victoria,4.06,4.06,240.03,3061,1.0,23.8,1.0,0.8,1.0,0,0.83,0.6,0.76,0.8,1.0,1.0,11
Philippines,Victoria,4.06,4.06,240.03,3061,1.0,23.8,1.0,0.8,1.0,0,0.83,0.6,0.76,0.8,1.0,1.0,11
Philippines,Victoria,4.06,4.06,240.03,3061,1.0,23.8,1.0,0.8,1.0,0,0.83,0.6,0.76,0.8,1.0,1.0,11
