country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety,marine_species
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Buffalo,5.0,5.0,100.0,2798,1.0,34.0,0.8,0.6,0.8,37,0.88,0.8,0.83,0.8,0.8,0.8,14
United States,Buffalo,5.0,5.0,100.0,2798,1.0,34.0,0.8,0.6,0.8,37,0.88,0.8,0.83,0.8,0.8,0.8,14
United States,Fort Lauderdale,5.5,5.5,300.0,3145,1.0,34.0,0.8,0.6,0.8,12,0.88,1.0,0.82,0.8,0.8,0.6,14
United States,Tampa,5.0,5.0,97.0,2823,0.6,34.0,0.8,0.6,0.8,45,0.86,0.8,0.82,0.8,0.8,0.8,14
United States,Louisville,4.0,4.0,80.0,2627,1.0,34.0,0.8,0.6,0.8,35,0.87,0.6,0.82,0.8,0.8,0.8,14
United States,Louisville,4.0,4.0,80.0,2627,1.0,34.0,0.8,0.6,0.8,35,0.87,0.6,0.82,0.8,0.8,0.8,14
United States,Louisville,4.0,4.0,80.0,2627,1.0,34.0,0.8,0.6,0.8,35,0.87,0.6,0.82,0.8,0.8,0.8,14
United States,Philadelphia,7.5,7.5,350.0,4497,0.8,34.0,1.0,0.6,0.8,23,0.88,1.0,0.82,1.0,0.8,0.6,14
United States,New Orleans,5.0,5.0,275.0,3034,0.8,34.0,0.4,0.6,1.0,36,0.87,1.0,0.82,0.8,0.8,0.6,14
United States,Lisbon,2.69,2.69,106.46,1844,0.8,29.2,0.6,0.8,0.8,54,0.84,1.0,0.82,0.6,0.8,0.8,14
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6,14
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6,14
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6,14
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6,14
United States,Richmond,5.0,5.0,250.0,2824,0.8,34.0,1.0,0.6,0.6,24,0.84,0.8,0.81,0.8,0.8,0.6,14
United States,Sacramento,5.0,5.0,180.0,3033,1.0,34.0,1.0,0.6,0.8,32,0.87,0.6,0.81,0.8,0.8,0.8,14
United States,Albuquerque,4.5,4.5,40.0,2361,1.0,34.0,0.8,0.6,0.6,23,0.89,0.8,0.81,0.8,0.8,0.8,14
United States,Norfolk,5.0,5.0,150.0,2773,0.8,34.0,0.0,0.6,0.8,34,0.86,0.42,0.81,0.8,0.78,0.8,14
United States,Norfolk,5.0,5.0,150.0,2773,0.8,34.0,0.0,0.6,0.8,34,0.86,0.42,0.81,0.8,0.78,0.8,14
United States,Norfolk,5.0,5.0,150.0,2773,0.8,34.0,0.0,0.6,0.8,34,0.86,0.42,0.81,0.8,0.78,0.8,14
United States,Colorado Springs,4.0,4.0,200.0,3202,1.0,34.0,0.6,0.6,0.8,36,0.87,0.6,0.81,0.8,0.8,0.8,14
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0,14
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0,14
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0,14
United States,Windsor,3.69,3.69,73.86,2668,0.8,23.8,0.8,0.8,1.0,30,0.87,0.6,0.81,0.8,1.0,1.0,14
United States,Omaha,5.0,5.0,350.0,2956,0.8,34.0,0.0,0.6,0.8,31,0.85,1.0,0.81,0.8,0.8,0.8,14
United States,Raleigh,5.0,5.0,300.0,2945,1.0,34.0,1.0,0.6,0.8,30,0.86,0.8,0.81,0.8,0.8,0.6,14
United States,Vienna,4.84,4.84,182.81,2615,1.0,27.5,1.0,0.8,0.8,36,0.85,0.76,0.81,0.8,0.6,1.0,14
United States,Vienna,4.84,4.84,182.81,2615,1.0,27.5,1.0,0.8,0.8,36,0.85,0.76,0.81,0.8,0.6,1.0,14
United States,Nashville,5.0,5.0,275.0,3482,0.8,34.0,0.4,0.6,0.8,28,0.9,1.0,0.8,0.8,0.8,0.8,14
United States,Milwaukee,7.0,7.0,110.0,3582,1.0,34.0,0.8,0.6,0.8,28,0.88,0.6,0.8,0.8,0.8,0.8,14
United States,Rotterdam,5.38,5.38,161.3,3041,0.6,28.2,0.8,1.0,0.8,50,0.84,0.8,0.8,0.8,0.8,0.6,14
United States,Phoenix,5.0,5.0,250.0,2729,1.0,34.0,0.6,0.6,0.4,40,0.81,0.6,0.8,0.8,0.8,0.8,14
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6,14
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6,14
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6,14
United States,Rochester,5.0,5.0,200.0,3015,0.8,34.0,0.4,0.6,0.8,22,0.84,0.6,0.8,0.8,0.8,0.6,14
United States,Orlando,5.0,5.0,200.0,2796,0.8,34.0,0.4,0.6,0.8,66,0.83,0.6,0.8,0.8,0.8,0.6,14
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0,14
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0,14
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0,14
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0,14
United States,Bristol,4.37,4.37,224.55,3461,1.0,32.4,0.42,0.6,1.0,0,0.89,0.8,0.79,0.8,1.0,1.0,14
United States,Tucson,5.0,5.0,150.0,2576,0.8,34.0,0.8,0.6,1.0,15,0.82,0.4,0.79,0.8,0.8,0.6,14
United States,Asheville,5.0,5.0,260.0,3087,1.0,34.0,0.8,0.6,0.8,18,0.85,0.6,0.79,0.8,0.8,1.0,14
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6,14
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6,14
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6,14
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6,14
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6,14
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6,14
United States,Manchester,4.37,4.37,249.5,2857,0.8,32.4,0.6,0.6,0.8,0,0.84,1.0,0.79,0.8,1.0,0.6,14
United States,Grand Rapids,5.0,5.0,99.0,3071,1.0,34.0,0.8,0.6,0.8,26,0.85,0.8,0.79,0.8,0.8,0.8,14
